,tconst,isAdult,startYear,runtimeMinutes,genre_1,genre_2,genre_3,directors,title,averageRating,numVotes,primaryName
6261,tt0092865,0,1987,90,Horror,Thriller,,nm0219959,Le tueur de la pleine lune,5.5,963,Ruggero Deodato
6262,tt0095952,0,1988,94,Horror,Mystery,,nm0219959,Angoisse sur la ligne,4.6,526,Ruggero Deodato
6263,tt0075378,0,1977,92,Comedy,,,nm0343709,La trappe à nanas,4.5,972,Sam Grossman
6264,tt0075382,0,1974,93,Crime,Drama,Thriller,nm0872153,Self Defense,6.2,642,John Trent
6265,tt0075387,0,1977,119,Adventure,Comedy,Drama,nm0771705,L'expulsion du paradis,6.0,35,Niklaus Schilling
6266,tt0078164,0,1978,91,Drama,,,nm0771705,"Rheingold, compartiment meurtre",6.5,132,Niklaus Schilling
6267,tt0080135,0,1979,120,Comedy,Drama,,nm0771705,Willi Busch Reporter,6.4,51,Niklaus Schilling
6268,tt0083320,0,1982,104,Romance,Thriller,,nm0771705,Lumière fatale,6.4,63,Niklaus Schilling
6269,tt0075389,0,1977,90,Adventure,Family,Sci-Fi,nm0685034,Le continent fantastique,4.8,635,Juan Piquer Simón
6270,tt0079971,0,1979,88,Adventure,Comedy,Fantasy,nm0685034,Supersonic Man,3.1,1019,Juan Piquer Simón
6271,tt0082264,0,1982,85,Action,Adventure,Fantasy,nm0685034,Les Diables de la mer,3.8,95,Juan Piquer Simón
6272,tt0082748,0,1982,85,Horror,Mystery,Thriller,nm0685034,Le Cri du cobra,6.0,11631,Juan Piquer Simón
6273,tt0082769,0,1981,105,Adventure,Comedy,Horror,nm0685034,Le Mystère de l'île aux monstres,3.8,987,Juan Piquer Simón
6274,tt0086026,0,1983,80,Drama,Fantasy,Horror,nm0685034,Les nouveaux extraterrestres,2.0,4639,Juan Piquer Simón
6275,tt0093995,0,1988,92,Horror,,,nm0685034,Slugs,5.3,5414,Juan Piquer Simón
6276,tt0099701,0,1990,83,Action,Adventure,Horror,nm0685034,L'abîme,4.7,2472,Juan Piquer Simón
6277,tt0075394,0,1975,107,Comedy,Drama,,nm0958318,Vincent mit l'âne dans un pré (et s'en vint dans l'autre),5.9,39,Pierre Zucca
6278,tt0089938,0,1985,105,Drama,,,nm0958318,Rouge-gorge,6.6,30,Pierre Zucca
6279,tt0094639,0,1988,98,Comedy,,,nm0958318,"Alouette, je te plumerai",5.4,71,Pierre Zucca
6280,tt0256343,0,1979,104,Drama,Fantasy,Romance,nm0958318,"Roberte, ce soir...",6.2,46,Pierre Zucca
6281,tt0075404,0,1977,111,Drama,War,,nm0791899,L'Ascension,8.2,9239,Larisa Shepitko
6282,tt0075419,0,1975,84,Documentary,Horror,Music,nm0200597,The Alice Cooper Show,7.5,489,David Winters
6283,tt0087592,0,1982,87,Comedy,Horror,,nm0200597,Les frénétiques,5.5,1921,David Winters
6284,tt0092085,0,1986,93,Action,Drama,Romance,nm0200597,Skate Gang,6.5,4741,David Winters
6285,tt0093550,0,1985,97,Action,Adventure,Crime,nm0200597,La mission,4.4,195,David Winters
6286,tt0093821,0,1987,93,Action,Thriller,,nm0200597,Rage to Kill,4.0,419,David Winters
6287,tt0413072,0,1971,60,Documentary,,,nm0200597,Once Upon a Wheel,6.5,40,David Winters
6288,tt0075456,0,1976,100,Action,Crime,,nm0868149,Zebra Force,4.6,262,Joe Tornatore
6289,tt0075462,0,1976,112,Adventure,Horror,Mystery,nm0406654,Les révoltés de l'an 2000,7.2,7597,Narciso Ibáñez Serrador
6290,tt0075617,0,1977,95,Comedy,Documentary,Drama,nm0002120,Viva Abba,6.4,3597,Lasse Hallström
6291,tt0089606,0,1985,101,Comedy,Drama,,nm0002120,Ma vie de chien,7.6,21671,Lasse Hallström
6292,tt0075620,0,1978,95,Horror,Sci-Fi,Thriller,nm0951577,Les abeilles,3.9,1340,Alfredo Zacarías
6293,tt0082257,0,1981,78,Horror,,,nm0951577,Les doigts du diable,4.6,1607,Alfredo Zacarías
6294,tt0150222,0,1989,87,Action,Crime,Drama,nm0951577,Le crime des crimes,5.2,43,Alfredo Zacarías
6295,tt0075648,0,1977,114,Action,Drama,Thriller,nm0417054,Les Naufragés du 747,5.8,11256,Jerry Jameson
6296,tt0081400,0,1980,115,Action,Adventure,Drama,nm0417054,La guerre des abîmes,5.1,4950,Jerry Jameson
6297,tt0184310,0,1971,87,Action,Drama,,nm0417054,Le sexe sauvage,5.5,202,Jerry Jameson
6298,tt0075654,0,1977,110,Adventure,Drama,,nm0950001,Alambrista!,7.3,733,Robert M. Young
6299,tt0091024,0,1986,89,Drama,Thriller,,nm0950001,Extremities,6.3,4066,Robert M. Young
6300,tt0091895,0,1986,112,Comedy,Drama,,nm0950001,Sa Sainteté a disparu!,6.9,613,Robert M. Young
6301,tt0095050,0,1988,111,Drama,,,nm0950001,Nicky et Gino,7.0,3103,Robert M. Young
6302,tt0075666,0,1977,78,Horror,,,nm0529877,Alucarda,6.2,3746,Juan López Moctezuma
6303,tt0090179,0,1984,88,Crime,Drama,Mystery,nm0529877,Le tueur,5.3,144,Juan López Moctezuma
6304,tt0075679,0,1977,105,Comedy,Crime,Horror,nm0425328,Bad,6.0,852,Jed Johnson
6305,tt0075691,0,1977,91,Drama,,,nm0185473,Les apprentis sorciers,6.1,48,Edgardo Cozarinsky
6306,tt0084037,0,1982,105,Documentary,History,,nm0185473,La guerre d'un seul homme,7.8,84,Edgardo Cozarinsky
6307,tt0075708,0,1977,145,Biography,Drama,,nm0467861,La mort est mon métier,7.2,343,Theodor Kotulla
6308,tt0090643,0,1987,122,\N,,,nm0467861,L'agression,7.0,8,Theodor Kotulla
6309,tt0075709,0,1977,95,Crime,Drama,,nm0550082,Gang buster,4.7,37,Alberto Marras
6310,tt0075710,0,1974,65,Horror,Thriller,,nm0295017,Axe,4.8,1440,Frederick R. Friedel
6311,tt0077401,0,1976,76,Crime,Drama,Romance,nm0295017,Date with a Kidnapper,5.8,297,Frederick R. Friedel
6312,tt0075712,0,1978,84,Comedy,Drama,,nm0881245,Béatrice devant le péché,4.8,25,Pierre Unia
6313,tt0085206,0,1983,80,Comedy,,,nm0881245,Baby Cat,3.4,136,Pierre Unia
6314,tt0087168,0,1984,90,Drama,Romance,,nm0881245,Dortoir des grandes,4.0,120,Pierre Unia
6315,tt0164128,0,1985,80,Drama,,,nm0881245,"Violées partout, elles crient... Encore!",3.9,39,Pierre Unia
6316,tt0205046,0,1979,\N,\N,,,nm0881245,Jeunes Filles au pair,3.9,15,Pierre Unia
6317,tt0251937,0,1975,86,Comedy,,,nm0881245,Le pied!..,5.3,29,Pierre Unia
6318,tt0257153,1,1974,100,Comedy,,,nm0881245,Les maîtresses de vacances,4.1,19,Pierre Unia
6319,tt0272337,1,1979,78,\N,,,nm0881245,"Hôtesses en matinées, putes en soirée",5.4,26,Pierre Unia
6320,tt0311842,1,1983,70,\N,,,nm0881245,Sodomies pour une adolescente,3.8,12,Pierre Unia
6321,tt7982356,0,1979,85,\N,,,nm0881245,Good Morning Sexe,4.3,9,Pierre Unia
6322,tt7998168,0,1983,75,\N,,,nm0881245,Infidèle par devant,5.7,8,Pierre Unia
6323,tt0075718,0,1977,100,Comedy,Family,Sport,nm0696309,La chouette équipe se révolte,5.6,3478,Michael Pressman
6324,tt0076109,0,1976,90,Action,Comedy,Crime,nm0696309,Dynamite Girls,5.9,668,Michael Pressman
